row,domain,title,label,url
1,trading,How to Capture Liquidity Sweep Entries | Beginner to Advanced Guide,,https://youtu.be/s8l4H2BeveI
2,biohacking,Why Eating LESS Slows Aging (The Science Explained),,https://youtu.be/aen8guhQOy8
3,philosophy-of-science,"Why Would God Create 2 Trillion Galaxies? Science, Philosophy, and Cosmic Purpose",,https://youtu.be/UCMpuxO-ohk
4,biohacking,Powerful Nootropic: Adenosine Receptor Modulator Explained #shorts,,https://youtu.be/_LQBMz0wPcc
5,trading,"Monte Carlo Analysis for Algorithmic Trading: Understanding Drawdown, Risk & Trade Sequence",,https://youtu.be/6zLQB0avey0
6,biohacking,Every Brain Nootropic Explained in 9 Minutes,,https://youtu.be/Qc-MHcMdmO8
7,biohacking,An Accidental Paradigm Shift in Longevity Science,,https://youtu.be/GqzKP9RsE5E
8,biohacking,"The 2026 Jüced Energy Gummies Formula, Explained",,https://youtu.be/JFDBw_7aaVs
9,trading,How Jim Simons Solved the Stock Market,,https://youtu.be/pn2CXlphvtI
10,philosophy-of-science,Green Waqf Paradigm~ Dr. Siska Lis Sulistiani Unisba,,https://youtu.be/fvU7VpU5Ojo
11,geopolitics,Why India's Rice Exports to Iran Defy US Sanctions: The Untold Reality!,,https://youtu.be/Bz0P6kuUMUs
12,trading,PreOpen Data Feature @ReliableSoftwareSystemsPvtLtd #foxsoftware #technicalanalysis #preopenmarket,,https://youtu.be/j-JV8PtpkYw
13,trading,"GBPJPY Forecast and Technical Analysis for August 27, 2026",,https://youtu.be/Qh_DqsnTRbA
14,philosophy-of-science,A very scientific process. Now for peer review,,https://youtu.be/nlmp9gs2JvA
15,geopolitics,Why China Matters in Trump’s Pressure Campaign Against.,,https://youtu.be/QCQ7qznU0a0
16,philosophy-of-science,Scientists Kaise Sochte Hain? 🔍 Scientific Method Explained | Class 6 Science #shorts #class6science,,https://youtu.be/i7Z1wLi5q68
17,philosophy-of-science,Philosophy Explained: The Foundations of Human Thought🧠🤯 #philosophy #philosophyofscience,,https://youtu.be/fAu35tmcYaQ
18,geopolitics,Russia's Border Just Changed — And Putin May Not Like It #geopolitics #thinkhistory #ukraine,,https://youtu.be/OjMw2wFPt9M
19,biohacking,LinAge2: New Biological Clock Explained! #shorts,,https://youtu.be/EMLhoMOgnDs
20,philosophy-of-science,"Big Ideas Series - Dr Judd Kalkhoven on the Philosophy of Science, Theory Development, and Logic",,https://youtu.be/1H9zCbjLE-8
21,geopolitics,Russia’s Defense Technology in Focus | Iran’s Strategic Capabilities & Global Geopolitical Analysis,,https://youtu.be/WdwBQSTTs3M
22,trading,TopstepTV Live Futures Day Trading: Trade On Until Your Dreams Come True (8/27/26),,https://youtu.be/Hy13MTebbaw
23,philosophy-of-science,The Paradigm Shift,,https://youtu.be/DNc1wkKcBok
24,biohacking,Exercise Is the Best Medicine #exercise #bestmedicine #ageless #livelonger #healthspan #longevity,,https://youtu.be/GtsdiQ7yqMA
25,geopolitics,China vs America The Real Balance of Power in 2026,,https://youtu.be/2344ZNyDsTk
26,philosophy-of-science,The Full Stack Agronomist  Mapping a 45 Year Paradigm Shift,,https://youtu.be/qXKzGQVg8dY
27,philosophy-of-science,"NEUROSURGEON & NEAR-DEATH EXPERIENCER, EBEN ALEXANDER: THE GLOBAL PARADIGM SHIFTS IN CONSCIOUSNESS",,https://youtu.be/FGpW3Hn-M3g
28,biohacking,The Molecule That Powers Nearly Every Cell In Your Body NAD+ Explained,,https://youtu.be/OxmKejpT83w
29,philosophy-of-science,[Review] The Structure of Scientific Revolutions (Thomas S. Kuhn) Summarized,,https://youtu.be/lEHebCNv15w
30,geopolitics,Truth Behind US $10 Billion Deal with Pakistan | Geopolitics Explained | Razi Naama,,https://youtu.be/dTPzFG-cL_k
31,trading,Gold Option Trading Setup | Calender Spreads Explained for Beginners 🔥| #XAUT Options,,https://youtu.be/CmFEx-gT5us
32,geopolitics,China's Secret Weapon Could Change the U.S.-China Power Balance,,https://youtu.be/Ayib6PvvMvw
33,trading,Bias in Trading Explained | Daily Bias Trading Strategy |  in Hindi – Part 02,,https://youtu.be/qp9U6418UQY
34,biohacking,Longevity Explained,,https://youtu.be/XMQ7sXnMVxE
35,trading,"Trading & Forex Education | Learn Trading, Risk Management, Technical Analysis & Market Psychology",,https://youtu.be/FOUNJxJuW1Q
36,trading,Order Block Trading Strategy Explained | Complete Masterclass | Trading For Beginners,,https://youtu.be/NBN3iZOK6Ow
37,biohacking,"Epitalon Explained: Mechanism, Evidence, Risks, and How It Could Promote Longevity",,https://youtu.be/Nr8roe5afho
38,philosophy-of-science,Engineering Paradigm Shift: The New Autodesk Assistant AI | KETIV Virtual Academy,,https://youtu.be/jDKUtoMeDIg
39,geopolitics,Muslim Defense Pact Explained: Will Iran Join? Full Geopolitical Analysis | Prof. LI EXPLAINED,,https://youtu.be/fONRinGl02E
40,trading,iphone 11 back cover remove #trending #trendingnow #youtubeshorts #technicalanalysis,,https://youtu.be/O_bSZCW9T2Q
41,geopolitics,Russia Threatens UK Military Targets? 🚨 What Happens Next? ||Project Atlas,,https://youtu.be/T3TgxF1a7Cw
42,philosophy-of-science,Paradigm shift: Is the world ready for a new model of collaborative R&I?,,https://youtu.be/y8s8DCFVOwc
43,philosophy-of-science,Fundamentals of statistics and data analysis | TECH Global University,,https://youtu.be/dIppggLgTh0
44,trading,#السوق السعودي | التحليل الفني لسهم صناعات كهربائية 1303 | دعم ومقاومة وهدف ووقف خسارة,,https://youtu.be/seFBdSEKbyk
45,trading,Claude AI Trading Setup in Tamil | Share Market AI Bot,,https://youtu.be/KUB4MwlNqWE
46,biohacking,The Air In Your Home Is Aging Your Skin,,https://youtu.be/C2AzZkUyXzA
47,trading,How I Make CONSISTENT Returns in Stock Market | Algo Trading Strategy Explained,,https://youtu.be/J6IHnqa9OQI
48,geopolitics,China Just Changed the Global Balance of Power—Here's What America Missed,,https://youtu.be/mC75k8IUgTQ
49,philosophy-of-science,FBR Data Era: — Scientific Method — — Not A New Act #Shorts,,https://youtu.be/ys8M9JRQr9E
50,biohacking,इंसान पैदा होने के बाद जवान होता है और फिर धीरे-धीरे बूढ़ा क्यों हो जाता है!!,,https://youtu.be/1g-iKaRvNd4
51,biohacking,Epitalon: Miracle Peptide or Cancer Risk? The Science Explained #shorts,,https://youtu.be/vrktKddkew0
52,philosophy-of-science,What is the scientific method? #ScientificMethod #CriticalThinking #Pseudoscience,,https://youtu.be/z7sWTjW2pMY
53,biohacking,Biohack Protocol Lab Explains: Can You Hack Your Longevity Genes? #biohackprotocollab #motivation,,https://youtu.be/UNy3BjbsepQ
54,philosophy-of-science,244.17: observer patch Holography #Oph #philosophy of #science,,https://youtu.be/KMnQ6MVA1yY
55,biohacking,Saffron: The Mood-Boosting Nootropic Supplement Explained #shorts,,https://youtu.be/-rrg_SYU4zE
56,geopolitics,MBS Statement on Pakistan: Diplomatic Message to US Explained #shorts,,https://youtu.be/biQaWngh0Zw
57,biohacking,☕커피와 장수의 비밀! 텔로미어 연구 총정리,,https://youtu.be/-UZZF2jVfKk
58,biohacking,Best Nootropics for ADHD? What Actually Works (Evidence Explained),,https://youtu.be/mDYZKUorcP4
59,biohacking,Stretching Continued #longevity #healthspan #balance #fallprevention #stretchingexercises,,https://youtu.be/5shLipRbjGc
60,trading,The ONLY Liquidity Guide You’ll Ever Need,,https://youtu.be/Vulini8xbB0
61,trading,How to Master Liquidity in Trading (Advanced Guide),,https://youtu.be/Rua24ytuHuY
62,trading,LIVE ALGO TRADING | Automated Forex Trading in Real Time,,https://youtu.be/-mMhuEoPPNY
63,trading,CNP Algo Trading | 3rd Batch Day 2 Completed ✅ | 5 Days FREE Trading Training | Monday–Friday Batch,,https://youtu.be/lT5veRQLgZk
64,trading,How to Trade Forex Legally in India? (2026 Complete Guide),,https://youtu.be/sDXXqS4cWkE
65,philosophy-of-science,AI Match to Compliant Hire: The Paradigm Shift,,https://youtu.be/a-YnWQ1q50o
66,trading,"[LIVE] NASDAQ Futures Trading August 26 – OIL, GOLD, SPY, QQQ, ES | Real-Time Day Trading Strategy",,https://youtu.be/47vLSC4HR6Q
67,geopolitics,11 Border Countries of India Explained 🗺️🔥💪,,https://youtu.be/soeNMgkz9cM
68,geopolitics,Meta Settles Landmark Teen Social Media Case | Balance of Power 08/26/2026,,https://youtu.be/FGI6AS7L8Lc
69,philosophy-of-science,"The Scientific Method & Its Critique in Sociology.""UPSC/ PCS/ UGC NET/SET",,https://youtu.be/KVtT5bt_Eig
70,geopolitics,"US–Iran Stand-off , #usa #usairanwar #geopolitics",,https://youtu.be/bCEkwTvivUI
71,geopolitics,Why Do Countries Fight Over Natural Resources? | Geopolitics Explained,,https://youtu.be/q_GFokr5fyg
72,geopolitics,The Secret Route Russia Uses to Arm Iran | The Caspian Sea Explained ⭐,,https://youtu.be/uy2Bzd3WzHI
73,philosophy-of-science,"M. Bilal (26) 7.4 || Review Sains Material : Scientific Method, Living things and Non Living things ",,https://youtu.be/AKcbu8eHpGQ
74,geopolitics,Great Power Relations Explained | Why Do Great Powers Compete? | CSS & IR | Dr. Pitafi,,https://youtu.be/P3YnVvxltAw
75,trading,🚀 GOLD (XAUUSD) Analysis—Perfect Entry TODAY  28.08.2026  🔥,,https://youtu.be/epSqofQeYg8
76,biohacking,Russian Nootropic Peptides: Semax & Selank Explained #shorts,,https://youtu.be/co7NJCHLF5A
77,trading,How to use TradingView Like a PRO (Full Course),,https://youtu.be/dabrR9IHwJU
78,geopolitics,Partition of Bengal Explained🗺️,,https://youtu.be/xYOOFFirOik
79,biohacking,Helping Others Helps You Too #longevity #kindness #charity,,https://youtu.be/aSZq-Dso1RU
80,biohacking,Biohack Protocol Lab: Is Your Food Toxic? The Real Science Explained,,https://youtu.be/1u8kElTLieU
81,philosophy-of-science,Nietzsche Explained by Science,,https://youtu.be/KS_Cnr741fQ
82,trading,What Is a Bullish Engulfing Pattern? Explained in 60s | Algo Trading,,https://youtu.be/ue9rFEG7oR4
83,biohacking,"Epitalon Explained: Cellular Aging, Telomeres & Longevity",,https://youtu.be/Dajh7ec5bo8
84,philosophy-of-science,🎙️ Intracellular glutathione_ a paradigm shift with Dr. Nayan Patel,,https://youtu.be/BM32qzj3yL0
85,trading,🔥 Forex Scalping Explained || #viral #trading #StockMarket #forex #viral #shorts,,https://youtu.be/CYMwobvcCI4
86,trading,Secret Scalping Framework for Technical Analysis Watch the Market Shift After This,,https://youtu.be/nGRBevEdMA4
87,philosophy-of-science,Paradigm in Geography UGC NET | Multi-Paradigm & Paradigm Shift | Geographical Thought,,https://youtu.be/ywWu-F2eipY
88,biohacking,the inflammaging signal in your blood — the PolSenior IL-6 finding,,https://youtu.be/1zeqF2nUxNk
89,philosophy-of-science,"Neuroscience — Aug 15, 2026",,https://youtu.be/3Q5bdOaETe4
90,geopolitics,Is Trump’s Power Fading in Asia? US Geopolitics Explained #trump #geopolitics #shorts,,https://youtu.be/KNSaoAGYZqE
91,geopolitics,Did Trump Make a Strategic Blunder Against India? | Full Geopolitical Analysis by ankit avasthi ,,https://youtu.be/RsV5Bv4PVJs
92,geopolitics,భారత సైన్యం దెబ్బమంచు కొండల్లో చైనాకు దిమ్మతిరిగే షాక్!#indiavschina  #indianarmy  #ytshorts,,https://youtu.be/Tm5kzCbwwWs
93,biohacking,Could These 2 Supplements Improve Healthy Ageing? | GlyNAC Explained,,https://youtu.be/_NhFMS5eoKk
94,trading,"This 15-Minute Scalping Strategy Shouldn't Work... But It Makes Me $2,392/Day",,https://youtu.be/T0H_jpQXdVI
95,trading,TopstepTV Live Futures Day Trading: Never Said No To More TopstepTV (8/26/26),,https://youtu.be/hPIAPdIxUuE
96,geopolitics,​🇮🇷 Iran vs Israel 🇮🇱 Economy & Military Power Comparison,,https://youtu.be/84gaJJUIuuY
97,philosophy-of-science,Warburg Common Pathogenesis Evolutionary Model - a paradigm shift in Medicine,,https://youtu.be/mZX0uZwwyoQ
98,geopolitics,Israel vs Palestine War Explained: Why Are They Still Fighting?,,https://youtu.be/pb-bhOFaxBU
99,geopolitics,Mampukah Trump Isolasi Iran- · #trump #iran #analisis #geopolitik,,https://youtu.be/bHaHypn0GHU
100,geopolitics,World Order Is a Lie: The Next 50 Years Will Change Everything  | Prof. Jiang | FO547 Raj Shamani,,https://youtu.be/ywd-Ve8a8Tc
101,biohacking,Semax Explained: A Biochemical Perspective on The Cognition Peptide,,https://youtu.be/2ZTmRWx12i4
102,trading,I Tested Letting Claude Trade For A Month and Made $102k,,https://youtu.be/RetsRS5u-8Q
103,geopolitics,Lebanon's Border: Power Balance & Shifting Dynamics Explained #shorts,,https://youtu.be/0Bo91nRicvM
104,trading,I Reveal My Most Profitable Trading Strategy,,https://youtu.be/fi7OxEzvhjw
105,geopolitics,China-Norway: Two Diplomatic Setbacks for India | Geopolitical Analysis,,https://youtu.be/G4003icqKKY
106,philosophy-of-science,"Scientific Method, Positivism and Feminist Critique Explained | Sociology Uncomplicated L3 | Aditya",,https://youtu.be/8Y2rQmgdXD4
107,philosophy-of-science,"3 1 Science, Scientific Method and Critique",,https://youtu.be/vM5mMl7ROOM
108,trading,How To Trade Pullbacks,,https://youtu.be/1rNCTCgAxkE
109,philosophy-of-science,A HUGE Paradigm Shift Into A Participatory Universe: Plasma,,https://youtu.be/r_yQwEau6dY
110,biohacking,The Longevity Secret No One Tells You: Biohack Protocol Lab Analysis #biohackprotocollab #motivation,,https://youtu.be/osKPTif95-E
111,philosophy-of-science,Evidence-Based Technical Analysis: Applying the Method and Inference to Signals by David Aronson,,https://youtu.be/bfalhj4Sr-4
112,geopolitics,Gilgit-Baltistan Elections 2026 | Why Is India Angry with Pakistan? | Full Geopolitical Analysis,,https://youtu.be/OWJ5LdKwyII
113,biohacking,Meditation Does More Than Relax You | It Grows Your Brain | Longevity,,https://youtu.be/CIwxLm0C06M
114,biohacking,Should Healthy People Take Ozempic for Longevity? A Doctor Explains the Real Science,,https://youtu.be/7uuJ8-Z27Kg
115,biohacking,Biohack Protocol Lab: Why Phone Use Kills Your Melatonin #biohackprotocollab #motivation #energy,,https://youtu.be/hY4husxW1mI
116,philosophy-of-science,Baveno VIII Paradigm Shift,,https://youtu.be/MxyhXzNz_sQ
117,geopolitics,The World Prediction That Could Change Everything | Jiang Xueqin - Raj Shamani #shorts #geopolitics,,https://youtu.be/MPEQMmqqDtk
118,biohacking,Can Telomere Lengthening Really Reverse Aging? The Science Explained,,https://youtu.be/muAbrkYV3Ek
119,philosophy-of-science,"ARISTOTLE की COMPLETE PHILOSOPHY | Logic, Ethics, Politics, Science & Eudaimonia | हिंदी में",,https://youtu.be/tI2jvCqmTLs
120,geopolitics,US Now Leads Iran War | Why Israel Suddenly Stepped Into the Background | Geopolitical Analysis,,https://youtu.be/tmG7kfBmzfE
